# Marker IDs can be arbitrary strings.
# Marker ID,	Time (in s)
1,	2.1565
1,	3.7699
1,	4.6150
1,	6.0555
1,	7.5405
1,	8.7602
1,	10.1041
1,	11.3094
1,	12.5972
1,	13.8898
1,	15.0388
1,	16.1816
1,	17.5276
1,	18.7835
1,	20.0438
1,	21.2780
1,	22.5810
1,	24.0108
1,	25.2941
1,	26.6838
1,	28.1962
1,	29.3781
1,	30.9136
1,	32.1422
1,	33.4169
1,	34.6146
1,	35.7737
1,	37.0096
1,	38.3789
1,	39.6372
1,	40.8010
1,	42.1085
1,	43.4733
1,	44.7401
1,	46.0528
1,	47.4111
1,	48.6645
1,	50.2242
1,	51.8099
1,	53.2041
1,	54.7194
1,	56.1950
1,	57.4970
1,	58.9193
1,	60.6174
1,	62.0668
1,	63.4067
1,	65.0268
1,	66.4273
1,	68.1324
1,	69.4407
1,	71.0176
1,	72.5270
1,	73.8319
1,	75.5502
1,	76.9832
1,	78.3226
1,	80.0653
